,1. open,2. high,3. low,4. close,5. volume,symbol,price_date,reportedEPS,estimatedEPS,surprise,surprisePercentage,earnings_release_date
24,17.6700,17.8900,17.5100,17.7600,2374099,WEN,2024-10-07,0.25,0.25,0,0,2024-09-30
25,17.4000,17.7500,17.3600,17.6300,2498220,WEN,2024-10-04,0.25,0.25,0,0,2024-09-30
26,17.3100,17.4250,17.2637,17.2900,1829568,WEN,2024-10-03,0.25,0.25,0,0,2024-09-30
27,17.5000,17.6450,17.3700,17.3800,3397164,WEN,2024-10-02,0.25,0.25,0,0,2024-09-30
28,17.6400,17.8000,17.4700,17.6600,2279654,WEN,2024-10-01,0.25,0.25,0,0,2024-09-30
29,17.7600,17.9300,17.4850,17.5200,2192694,WEN,2024-09-30,0.25,0.25,0,0,2024-09-30
30,17.8200,17.9700,17.7400,17.7900,2009880,WEN,2024-09-27,0.25,0.25,0,0,2024-09-30
31,17.4000,17.7200,17.3700,17.6900,2743650,WEN,2024-09-26,0.25,0.25,0,0,2024-09-30
32,17.5700,17.7100,17.3200,17.3400,2566138,WEN,2024-09-25,0.25,0.25,0,0,2024-09-30
33,17.7000,17.8850,17.5700,17.5800,2238267,WEN,2024-09-24,0.25,0.25,0,0,2024-09-30
34,17.4840,17.7500,17.4800,17.6900,2905273,WEN,2024-09-23,0.25,0.25,0,0,2024-09-30
89,16.2600,16.2800,16.0250,16.2600,4066242,WEN,2024-07-05,0.27,0.28,-0.01,-3.5714,2024-06-30
90,16.3200,16.4900,16.2550,16.2800,1709458,WEN,2024-07-03,0.27,0.28,-0.01,-3.5714,2024-06-30
91,16.4300,16.4350,16.1250,16.3000,5404952,WEN,2024-07-02,0.27,0.28,-0.01,-3.5714,2024-06-30
92,16.9800,17.0250,16.3300,16.4300,3260867,WEN,2024-07-01,0.27,0.28,-0.01,-3.5714,2024-06-30
93,16.9700,17.0700,16.7800,16.9600,5874346,WEN,2024-06-28,0.27,0.28,-0.01,-3.5714,2024-06-30
