,1. open,2. high,3. low,4. close,5. volume,symbol,date
0,20.1300,20.3900,20.0200,20.3100,6434591,WEN,2024-10-30
1,20.3800,20.5800,20.2501,20.2800,3124484,WEN,2024-10-29
2,19.7600,20.4400,19.7600,20.4000,5292263,WEN,2024-10-28
3,19.8600,19.8600,19.3550,19.5400,3062258,WEN,2024-10-25
4,19.1100,19.4700,19.1100,19.4700,2402307,WEN,2024-10-24
5,19.3300,19.3300,18.8200,19.1800,4252169,WEN,2024-10-23
6,19.2000,19.2000,18.9700,18.9800,2844871,WEN,2024-10-22
7,19.6900,19.7100,19.1600,19.2600,4562836,WEN,2024-10-21
8,19.6600,19.8250,19.5900,19.7000,3275102,WEN,2024-10-18
9,19.9900,20.0800,19.4900,19.6800,5284174,WEN,2024-10-17
10,19.6200,20.0000,19.4800,19.9900,5529102,WEN,2024-10-16
11,19.4300,19.7250,19.2600,19.5200,4823289,WEN,2024-10-15
12,18.5900,19.5300,18.5500,19.4000,8628124,WEN,2024-10-14
13,18.0700,18.7600,18.0600,18.6200,4862804,WEN,2024-10-11
14,17.5300,18.3600,17.5300,18.0300,5798450,WEN,2024-10-10
15,17.7200,17.8383,17.5450,17.5900,2790135,WEN,2024-10-09
16,17.7600,17.8000,17.5300,17.6700,2702671,WEN,2024-10-08
17,17.6700,17.8900,17.5100,17.7600,2374099,WEN,2024-10-07
18,17.4000,17.7500,17.3600,17.6300,2498220,WEN,2024-10-04
19,17.3100,17.4250,17.2637,17.2900,1829568,WEN,2024-10-03
20,17.5000,17.6450,17.3700,17.3800,3397164,WEN,2024-10-02
21,17.6400,17.8000,17.4700,17.6600,2279654,WEN,2024-10-01
22,17.7600,17.9300,17.4850,17.5200,2192694,WEN,2024-09-30
23,17.8200,17.9700,17.7400,17.7900,2009880,WEN,2024-09-27
24,17.4000,17.7200,17.3700,17.6900,2743650,WEN,2024-09-26
25,17.5700,17.7100,17.3200,17.3400,2566138,WEN,2024-09-25
26,17.7000,17.8850,17.5700,17.5800,2238267,WEN,2024-09-24
27,17.4840,17.7500,17.4800,17.6900,2905273,WEN,2024-09-23
28,17.8100,17.8300,17.3850,17.4400,4642296,WEN,2024-09-20
29,17.9000,18.0500,17.7350,17.8700,3275107,WEN,2024-09-19
30,17.7900,17.8800,17.5900,17.6300,2353167,WEN,2024-09-18
31,17.8300,17.9450,17.7100,17.7700,2453029,WEN,2024-09-17
32,17.5900,17.9800,17.5650,17.7300,2731333,WEN,2024-09-16
33,16.9600,17.6900,16.9400,17.5700,4029880,WEN,2024-09-13
34,16.9400,16.9600,16.6100,16.9000,2026121,WEN,2024-09-12
35,16.6300,16.9100,16.4400,16.8300,2617221,WEN,2024-09-11
36,17.2000,17.2000,16.6100,16.6300,3129262,WEN,2024-09-10
37,16.8000,17.1700,16.6600,17.1500,3479694,WEN,2024-09-09
38,16.7500,17.1000,16.6800,16.9900,3561925,WEN,2024-09-06
39,16.8700,17.1100,16.6900,16.7400,2583527,WEN,2024-09-05
40,16.5400,17.0050,16.5300,16.7600,3251971,WEN,2024-09-04
41,16.7000,16.9550,16.4600,16.4800,3824501,WEN,2024-09-03
42,16.7200,16.9700,16.6900,16.9200,2596762,WEN,2024-08-30
43,16.8000,16.8300,16.5300,16.6500,1972950,WEN,2024-08-29
44,16.9100,16.9450,16.6650,16.7700,2289437,WEN,2024-08-28
45,16.8600,17.0200,16.7800,16.9400,1635298,WEN,2024-08-27
46,16.9000,17.1000,16.7500,16.9500,2556307,WEN,2024-08-26
47,16.7500,16.9200,16.6950,16.9000,3066670,WEN,2024-08-23
48,16.9500,17.0300,16.6900,16.7400,2209441,WEN,2024-08-22
